Year,Region,Dwelling population (persons),At risk of poverty rate (threshold 60% of median) (%),At risk of poverty rate of children in dwelling population (%),Gini coefficient (gross income) (%)
2023,Lemi,2812,11.3,10.1,26.4
2023,Lemland,2093,7.2,9.7,30.3
2023,Lempäälä,24405,7.8,7,30.5
2023,Leppävirta,8832,12.3,10,28.2
2023,Lestijärvi,669,12.1,,28.4
2023,Lieksa,9850,19.8,18.6,28.6
2023,Lieto,20407,6.2,4.8,27.1
2023,Liminka,10167,9.1,11.6,25.4
2023,Liperi,11664,12.5,11.8,28.7
2023,Lohja,44609,10.6,11.3,29.7
2023,Loimaa,15035,16.1,15.7,29.5
2023,Loppi,7535,10.7,11.1,27.1
2023,Loviisa,14125,12.2,11.4,28.8
2023,Luhanka,683,13.6,,35.2
2023,Lumijoki,2012,15.2,18.3,26.5
2023,Lumparland,351,9.7,,26.6
2023,Larsmo,5763,8,11.6,24.3
2023,Luumäki,4310,15.2,11.4,29.7
2023,Malax,5361,10.3,7.7,26.2
2023,Mariehamn,11572,11.1,11.7,35.9
2023,Marttila,1897,12.4,10.9,27.5
2023,Masku,9485,4.9,5,25.9
2023,Merijärvi,1040,20.4,29.1,24.5
2023,Merikarvia,2873,15,12.6,29.9
2023,Miehikkälä,1697,19.3,26.1,29.6
2023,Mikkeli,50870,13.6,11.9,29.2
2023,Muhos,8661,13.4,16.2,28.6
2023,Multia,1382,21.3,21.9,35
2023,Muonio,2173,11.7,13.6,29.5
2023,Korsholm,19527,6.7,6.9,25.7
2023,Muurame,10399,6.9,6.3,27.9
2023,Mynämäki,7388,9.4,8.6,26.2
2023,Myrskylä,1657,12.3,,27.6
2023,Mäntsälä,20634,8.8,9.3,27.7
2023,Mänttä-Vilppula,9026,15.1,15.9,27.3
2023,Mäntyharju,5365,17.3,16.4,32.2
2023,Naantali,19637,7.6,7,33.6
2023,Nakkila,4902,13.1,11.4,27.9
2023,Nivala,10311,14.7,17.7,28
2023,Nokia,35001,9.4,7.8,27.4
2023,Nousiainen,4582,6.5,6.4,25
2023,Nurmes,8880,19.9,18.2,28.2
2023,Nurmijärvi,44055,7,7,29.2
2023,Närpes,9416,12.5,13.9,28.9
2023,Orimattila,15393,12.8,13,28.5
2023,Oripää,1287,14.1,13.8,30.1
2023,Orivesi,8632,13.2,12.3,28.4
2023,Oulainen,6843,14.9,16.3,26.6
2023,Oulu,211031,15.5,12.7,32.8
2023,Outokumpu,6231,19.1,19.6,29.2
2023,Padasjoki,2644,18.6,21.7,32.9
2023,Paimio,11051,8.6,7.6,27.5
2023,Paltamo,2971,16.1,14.1,30.6
2023,Pargas,14762,9,8.2,30.5
2023,Parikkala,4294,18,13.2,29.2
2023,Parkano,5976,15.5,14.1,28.4
2023,Pedersöre,11124,6.4,6.7,23.6
2023,Pelkosenniemi,846,12.2,,24.8
2023,Pello,3138,15.4,18.1,27.8
2023,Perho,2536,17.7,25.6,25.6
2023,Pertunmaa,1537,19.1,,32.2
2023,Petäjävesi,3540,13.6,10.5,28
2023,Pieksämäki,16576,16,14.2,27.8
2023,Pielavesi,3932,17.1,13.4,28.8
2023,Jakobstad,19013,12.7,13.9,28.1
2023,Pihtipudas,3656,17.1,12.2,27.5
2023,Pirkkala,20512,6.7,5.5,34
2023,Polvijärvi,3942,18.7,16.6,27.7
2023,Pomarkku,1902,17,18.8,29.5
2023,Pori,81184,15.5,13.8,30
2023,Pornainen,4896,6.7,8.8,26.3
2023,Porvoo,50278,9.2,8.8,30.9
2023,Posio,2755,16.9,13.4,27.3
2023,Pudasjärvi,7293,18.3,21.4,27.1
2023,Pukkila,1742,13.3,18.8,26.7
2023,Punkalaidun,2584,19.3,17.1,31.4
2023,Puolanka,2288,19,16.7,27.4
2023,Puumala,2013,13.7,,31.7
2023,Pyhtää,4959,8.8,5.5,28.9
2023,Pyhäjoki,2907,11.4,10.5,27.6
2023,Pyhäjärvi,4646,17.7,16.1,27
2023,Pyhäntä,1617,13.7,17.8,27.3
2023,Pyhäranta,1901,9.7,10.9,24.2
2023,Pälkäne,6183,12.8,12.2,28.8
2023,Pöytyä,7961,12.2,11.4,28
2023,Raahe,23381,13,14.5,26.7
2023,Raseborg,26607,12.3,11.9,29.1
2023,Raisio,24850,9.5,9.3,28
2023,Rantasalmi,3200,18.3,17,30.3
2023,Ranua,3498,17.6,17.2,26.6
2023,Rauma,38103,12.9,10.2,32.2
2023,Rautalampi,2836,19,17.8,29.4
2023,Rautavaara,1391,21.4,,29.8
2023,Rautjärvi,2988,16.4,21.3,27.7
2023,Reisjärvi,2552,15.9,18.9,27
2023,Riihimäki,27911,12.9,11.4,29.2
2023,Ristijärvi,1135,16.3,,28.8
2023,Rovaniemi,63959,13.5,10.7,29.5
2023,Ruokolahti,4643,13.1,13.7,28.3
2023,Ruovesi,4010,16.8,21.5,30.3
2023,Rusko,6350,5.1,4.7,27.2
2023,Rääkkylä,1851,20.3,,30.5
2023,Saarijärvi,8623,18.9,21.5,28.6
2023,Salla,3164,16.1,17.1,26.7
2023,Salo,49892,13.8,13.7,30.1
2023,Saltvik,1745,8.7,,27.6
2023,Sastamala,22991,14.1,11.9,29.4
2023,Sauvo,2897,12.1,9.3,32.5
2023,Savitaipale,3122,17.8,16.5,30.2
2023,Savonlinna,30986,16.1,14.4,28.9
2023,Savukoski,949,19.9,,29.7
2023,Seinäjoki,65162,12,10,29.3
2023,Sievi,4632,18.5,26.3,39.6
2023,Siikainen,1252,19.7,21.2,29.3
2023,Siikajoki,4765,14.9,18.7,28.5
2023,Siikalatva,4841,16.4,14.6,25.7
2023,Siilinjärvi,20927,8.8,8.7,26.1
2023,Simo,2774,11.2,10.3,27.1
2023,Sipoo,22163,6.9,6.3,31.6
2023,Siuntio,6051,7.2,5.6,31.3
2023,Sodankylä,7830,10.5,6.9,25.8
2023,Soini,1842,15.8,13.3,26
2023,Somero,8161,15.6,13.2,29
2023,Sonkajärvi,3555,17.1,12.8,30.1
2023,Sotkamo,9985,11.4,9.9,29.3
2023,Sottunga,114,,,42.2
2023,Sulkava,2310,18.6,11.8,29.8
2023,Sund,971,7.8,,25.7
2023,Suomussalmi,6998,16.5,13.4,26.8
2023,Suonenjoki,6547,16.2,12.9,27.6
2023,Sysmä,3422,17.8,17,31.6
2023,Säkylä,6239,11.6,12.2,28.4
2023,Taipalsaari,4520,10.1,12.5,29.6
2023,Taivalkoski,3662,15.7,19.4,25.6
2023,Taivassalo,1659,13.3,14.1,27.7
2023,Tammela,5675,9.5,8.6,28.7
2023,Tampere,248975,17.2,13.9,34.4
2023,Tervo,1361,17.3,,28.1
2023,Tervola,2762,13,12.5,27
2023,Teuva,4653,15.2,14.6,28.5
2023,Tohmajärvi,3957,18.5,19.8,27.9
2023,Toholampi,2807,15.5,22.1,27.4
2023,Toivakka,2312,14.5,15.9,30
2023,Tornio,20589,12.2,11.3,28.6
2023,Turku,195801,19.3,17.6,34.9
2023,Tuusniemi,2227,20.5,20.3,30
2023,Tuusula,40668,6.6,7.3,30.4
2023,Tyrnävä,6464,12.6,16.3,24.7
2023,Ulvila,12314,10.4,11.1,27.3
2023,Urjala,4466,16.5,17.4,28.5
2023,Utajärvi,2444,18,20.4,27.1
2023,Utsjoki,1077,18.2,25,30.5
2023,Nykarleby,7383,10.9,11.6,31.1
2023,Uusikaupunki,14645,11.7,10.2,28.6
2023,Vaala,2521,17.9,18.8,27.1
2023,Vaasa,67725,16.6,13.6,32.4
2023,Valkeakoski,20285,11,9.5,27.7
2023,Vantaa,240955,12,13.7,30.7
2023,Varkaus,19307,17.3,17.2,29.5
2023,Vehmaa,2198,13.6,12.5,27.4
2023,Vesanto,1829,18.8,,28.9
2023,Vesilahti,4395,8.2,6.4,27.7
2023,Veteli,2874,13.2,10,26.2
2023,Vieremä,3330,12.7,9.8,30.2
2023,Vihti,28208,7.8,8.1,29.2
2023,Viitasaari,5746,17.1,18.2,28.4
2023,Vimpeli,2589,14,12.6,27.4
2023,Virolahti,2859,15.8,12,27.2
2023,Virrat,6125,15.7,15,30.5
2023,Vårdö,455,11.2,,30.1
2023,Vörå,6200,11.6,12.3,28.3
2023,Ylitornio,3633,14.6,13.6,29.4
2023,Ylivieska,15180,12.4,12.8,26.7
2023,Ylöjärvi,33145,8,8.3,28.1
2023,Ypäjä,2176,15.2,18.2,27.8
2023,Ähtäri,5159,16,17.5,28.4
2023,Äänekoski,17692,15.9,17.8,27.8
2023,MK01 Uusimaa,1716624,11.3,11.3,36.1
2023,MK02 Southwest Finland,479132,14,12.2,31.9
2023,MK04 Satakunta,207138,14.1,12.6,30
2023,MK05 Kanta-Häme,166078,12.5,11.9,29.4
2023,MK06 Pirkanmaa,528015,13.7,11.1,31.9
2023,MK07 Päijät-Häme,200502,15.2,14.6,31.1
2023,MK08 Kymenlaakso,154928,15.2,13.9,29.2
2023,MK09 South Karelia,122884,16.6,14.2,30.3
2023,MK10 South Savo,126692,15.3,13.3,29.3
2023,MK11 North Savo,242781,14.8,12.2,30.4
2023,MK12 North Karelia,158488,18.3,15.2,30.7
2023,MK13 Central Finland,267834,16.7,13.6,30.8
2023,MK14 South Ostrobothnia,187238,13.4,12,28.7
2023,MK15 Ostrobothnia,174542,12.5,11.2,29.3
2023,MK16 Central Ostrobothnia,66540,12.2,12.1,27.8
2023,MK17 North Ostrobothnia,410803,14.4,13.8,30.7
2023,MK18 Kainuu,68349,15.3,13.2,29.8
2023,MK19 Lapland,170303,13.4,11.8,28.5
2023,MK21 Åland,29923,9.6,10.7,31.5
2023,HVA01 East Uusimaa wellbeing services county,96987,9.3,8.9,31.1
2023,HVA02 Central Uusimaa wellbeing services county,201772,8.6,8.6,29.8
2023,HVA03 West Uusimaa wellbeing services county,484751,10.3,10,36.5
2023,HVA04 Vantaa and Kerava wellbeing services county,278260,11.8,13.5,30.5
2023,HVA05 Southwest Finland wellbeing services county,479132,14,12.2,31.9
2023,HVA06 Satakunta wellbeing services county,207138,14.1,12.6,30
2023,HVA06 Kanta-Häme wellbeing services county,166078,12.5,11.9,29.4
2023,HVA08 Pirkanmaa wellbeing services county,528015,13.7,11.1,31.9
2023,HVA09 Päijät-Häme wellbeing services county,200502,15.2,14.6,31.1
2023,HVA10 Kymenlaakso wellbeing services county,154928,15.2,13.9,29.2
